region_id,country_code
100,31
101,14
102,96
104,87
105,87
106,87
110,87
111,16
112,29
113,87
117,101
119,32
120,96
122,87
123,87
124,60
125,87
126,87
127,87
128,87
129,32
130,60
131,101
132,65
133,87
134,87
137,71
139,65
141,88
142,60
143,87
144,87
145,32
146,60
148,60
151,27
152,16
153,96
154,32
155,60
156,87
157,87
158,87
159,87
160,87
161,60
162,71
163,31
164,15
166,87
167,60
168,87
170,87
171,96
172,31
174,87
177,87
178,87
180,87
181,87
182,73
183,26
184,87
185,59
187,88
189,65
190,26
191,87
193,87
194,87
195,18
196,87
198,87
199,87
200,26
201,87
202,87
203,87
204,87
205,87
206,87
208,87
210,60
211,24
213,60
214,26
215,87
216,60
217,32
218,32
219,16
220,87
221,65
223,87
224,87
225,87
226,87
227,87
231,87
232,87
233,101
234,87
235,31
236,96
237,87
238,60
239,60
241,96
242,60
243,60
244,59
245,87
247,87
248,31
249,60
250,87
251,87
252,60
253,87
254,87
255,87
257,60
258,60
259,87
260,87
261,16
262,24
264,87
265,87
268,87
269,87
270,59
272,87
274,87
275,87
276,87
277,87
278,87
279,60
280,83
282,87
283,24
284,60
286,87
290,60
292,30
294,87
295,87
296,16
297,87
298,60
299,87
300,87
301,87
302,60
303,40
304,60
305,60
306,31
307,16
308,87
309,87
310,87
312,13
313,87
314,96
315,87
316,87
318,87
321,87
322,87
323,102
324,87
325,87
326,59
327,87
328,87
329,87
330,87
331,31
332,60
333,16
335,43
337,87
338,60
339,60
340,87
341,16
343,87
345,26
346,60
347,98
348,96
349,96
351,96
352,59
353,87
356,96
358,87
359,60
360,21
361,87
365,60
366,60
368,87
369,87
371,26
372,72
373,87
374,60
375,60
376,87
377,87
379,87
381,87
382,31
384,87
385,96
386,72
387,87
389,21
390,87
391,60
393,60
395,32
396,87
397,87
399,60
400,87
401,60
402,66
403,19
404,87
406,60
408,96
409,87
410,87
411,60
416,16
417,87
418,87
420,87
425,16
426,96
427,60
428,87
429,87
430,13
431,60
432,96
433,87
434,25
435,87
436,87
439,60
441,87
443,60
444,87
445,87
446,60
448,87
450,60
451,13
452,60
453,60
454,69
456,31
457,19
458,87
459,87
462,59
463,87
464,16
465,60
466,60
467,65
468,59
469,87
470,78
471,60
472,87
474,102
476,87
477,19
478,60
479,96
481,87
482,16
483,60
485,87
486,60
488,26
489,31
491,87
492,87
493,32
494,87
496,60
498,87
499,87
500,16
501,60
502,87
503,87
504,60
505,16
506,66
507,60
508,60
509,87
511,60
512,87
513,26
514,87
515,96
516,19
517,87
518,72
519,87
520,60
521,96
522,87
523,60
526,65
527,71
528,88
529,60
530,60
531,102
535,87
536,96
540,60
